Date,Contract,Expiry,Strike,Type,Price,Price_Source,Settlement,Bid,Ask,Days_To_Expiry,T,Futures_Product,Forward,Futures_Contract,Forward_Source,IV,OTM,Plot_Eligible
2026-09-23,202609W5,2026-09-30,42500.0,P,4.5,settlement,4.5,4.0,4.7,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.3588234110077037,True,True
2026-09-23,202609W5,2026-09-30,42600.0,C,5490.0,settlement,5490.0,5440.0,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,42600.0,P,4.8,settlement,4.8,4.2,5.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.3553936922915115,True,True
2026-09-23,202609W5,2026-09-30,42700.0,C,5390.0,settlement,5390.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,42700.0,P,5.3,settlement,5.3,4.6,5.3,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.35338157727736436,True,True
2026-09-23,202609W5,2026-09-30,42800.0,C,5290.0,settlement,5290.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,42800.0,P,5.3,settlement,5.3,4.7,5.5,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.34723070290718205,True,True
2026-09-23,202609W5,2026-09-30,42900.0,C,5190.0,settlement,5190.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,42900.0,P,5.8,settlement,5.8,5.2,5.9,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.3447970548492532,True,True
2026-09-23,202609W5,2026-09-30,43000.0,C,5090.0,settlement,5090.0,5050.0,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,43000.0,P,6.1,settlement,6.1,5.5,6.2,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.34069025409130094,True,True
2026-09-23,202609W5,2026-09-30,43100.0,C,4990.0,settlement,4990.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,43100.0,P,6.5,settlement,6.5,5.9,6.6,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.3371045896525642,True,True
2026-09-23,202609W5,2026-09-30,43200.0,C,4890.0,settlement,4890.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,43200.0,P,6.7,settlement,6.7,6.3,7.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.33210187061164465,True,True
2026-09-23,202609W5,2026-09-30,43300.0,C,4790.0,settlement,4790.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,43300.0,P,7.0,settlement,7.0,6.7,7.4,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.3276361386965486,True,True
2026-09-23,202609W5,2026-09-30,43400.0,C,4690.0,settlement,4690.0,4650.0,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,43400.0,P,7.5,settlement,7.5,7.1,7.9,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.32419258878711055,True,True
2026-09-23,202609W5,2026-09-30,43500.0,C,4600.0,settlement,4600.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,43500.0,P,8.3,settlement,8.3,7.4,8.3,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.3220949568075387,True,True
2026-09-23,202609W5,2026-09-30,43600.0,C,4500.0,settlement,4500.0,4450.0,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,43600.0,P,8.8,settlement,8.8,8.0,8.8,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.31815910561040095,True,True
2026-09-23,202609W5,2026-09-30,43700.0,C,4400.0,settlement,4400.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,43700.0,P,9.4,settlement,9.4,8.6,9.4,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.31451182777511466,True,True
2026-09-23,202609W5,2026-09-30,43800.0,C,4300.0,settlement,4300.0,4250.0,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,43800.0,P,9.7,settlement,9.7,8.9,9.7,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.30935063130695317,True,True
2026-09-23,202609W5,2026-09-30,43900.0,C,4200.0,settlement,4200.0,4150.0,4280.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,43900.0,P,10.5,settlement,10.5,9.7,10.5,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.3062057617031108,True,True
2026-09-23,202609W5,2026-09-30,44000.0,C,4100.0,settlement,4100.0,3100.0,4180.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,44000.0,P,11.0,settlement,11.0,9.9,11.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.301618758260181,True,True
2026-09-23,202609W5,2026-09-30,44100.0,C,4000.0,settlement,4000.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,44100.0,P,11.5,settlement,11.5,10.5,11.5,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.29690482878316843,True,True
2026-09-23,202609W5,2026-09-30,44150.0,C,3950.0,settlement,3950.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,44150.0,P,12.0,settlement,12.0,11.0,12.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.29541022750078183,True,True
2026-09-23,202609W5,2026-09-30,44200.0,C,3900.0,settlement,3900.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,44200.0,P,12.0,settlement,12.0,11.5,12.5,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.2920706313749964,True,True
2026-09-23,202609W5,2026-09-30,44250.0,C,3850.0,settlement,3850.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,44250.0,P,13.0,settlement,13.0,12.0,13.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.29218249776968,True,True
2026-09-23,202609W5,2026-09-30,44300.0,C,3800.0,settlement,3800.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,44300.0,P,13.0,settlement,13.0,12.0,13.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.2888106219432617,True,True
2026-09-23,202609W5,2026-09-30,44350.0,C,3750.0,settlement,3750.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,44350.0,P,13.5,settlement,13.5,12.5,13.5,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.2870704395208963,True,True
2026-09-23,202609W5,2026-09-30,44400.0,C,3700.0,settlement,3700.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,44400.0,P,14.0,settlement,14.0,13.0,14.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.2852618043582175,True,True
2026-09-23,202609W5,2026-09-30,44450.0,C,3650.0,settlement,3650.0,3610.0,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,44450.0,P,14.5,settlement,14.5,13.5,14.5,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.2833880078193543,True,True
2026-09-23,202609W5,2026-09-30,44500.0,C,3600.0,settlement,3600.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,44500.0,P,14.5,settlement,14.5,13.5,14.5,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.2799684534463468,True,True
2026-09-23,202609W5,2026-09-30,44550.0,C,3550.0,settlement,3550.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,44550.0,P,15.0,settlement,15.0,14.0,15.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.2780173162970591,True,True
2026-09-23,202609W5,2026-09-30,44600.0,C,3500.0,settlement,3500.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,44600.0,P,15.5,settlement,15.5,14.5,15.5,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.27600687184245803,True,True
2026-09-23,202609W5,2026-09-30,44650.0,C,3450.0,settlement,3450.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,44650.0,P,16.0,settlement,16.0,15.0,16.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.27393955953788596,True,True
2026-09-23,202609W5,2026-09-30,44700.0,C,3400.0,settlement,3400.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,44700.0,P,16.5,settlement,16.5,15.5,16.5,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.27181760382049736,True,True
2026-09-23,202609W5,2026-09-30,44750.0,C,3350.0,settlement,3350.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
